слово,частота
а,33
ага,1
бабушка,17
бабушки,4
бабушкой,1
бабушку,1
барчукъ,1
басняхъ,1
батюшкѣ,1
башмачнику,1
башмачникъ,1
безпереводный,4
безпереводнымъ,1
безпокоиться,1
безпокойно,1
безполезно,1
безполезность,1
безрасходный,1
безрасходнымъ,1
безъ,1
бери,1
благодаренъ,1
благодѣянія,1
блестѣть,1
ближнихъ,1
блистаніе,2
богатаго,1
богатомъ,1
богатства,1
богатъ,1
богатые,1
богатыхъ,1
богаче,1
бодрость,1
бодрѣе,1
больше,4
большее,1
большимъ,1
большомъ,2
большую,1
большіе,1
большія,1
болѣе,3
бралъ,1
будетъ,8
будешь,1
будто,2
будь,1
будьте,1
бы,7
бываетъ,2
бываютъ,3
была,3
были,2
было,12
былъ,9
быстро,1
быть,4
бѣднаго,1
бѣдная,2
бѣдную,1
бѣдные,2
бѣднымъ,2
бѣдныхъ,1
бѣдовый,1
бѣлой,1
бѣломъ,1
бѣлые,1
бѣлыхъ,1
вами,1
вамъ,6
вамь,1
василію,3
васъ,4
ваше,1
вашемъ,1
ваши,1
вашихъ,1
вашу,2
вашъ,3
вдвоемъ,1
вдругъ,2
веселому,1
вести,1
весь,1
вещей,2
вещи,3
вещь,2
взгляну,1
взоровъ,1
взялъ,1
взять,1
видалъ,1
видно,1
видѣлъ,1
видѣнное,1
видѣть,1
вижу,3
вкусу,1
владѣетъ,1
владѣя,1
влажностью,1
вмѣсто,1
вниманіе,1
во,7
вовсе,1
возвратился,1
возвращается,1
воздухѣ,1
возможности,1
возможностію,1
возрасту,1
возрастѣ,1
возьмись,1
вокругъ,2
волшебное,1
волшебными,1
вонъ,1
ворожатъ,1
восемь,1
воскликнулъ,1
воспользоваться,1
восьмая,1
вотъ,2
впервые,1
времени,1
время,2
все,14
все-таки,4
всегда,1
всего,2
всей,1
встрѣтиться,1
всю,1
вся,1
всякій,2
всѣ,16
всѣмъ,4
всѣхъ,7
вторая,1
второй,1
въ,67
вы,16
выдавай,1
выдашь,1
выйти,1
вынуть,1
выражало,2
выразительныхъ,1
выступаетъ,1
высшее,1
выше,1
вѣрилъ,1
вѣрить,1
гадаютъ,1
гармоніей,1
гармоніи,1
гармонію,1
гдѣ,2
генералами,1
глава,8
глаза,1
глазахъ,1
глиняныхъ,1
глиняныя,1
глядѣли,1
говорили,2
говорить,3
говорю,2
говоря,1
головному,1
головою,1
голубое,1
гораздо,1
гордиться,1
горько,1
грошей,1
грошу,1
грошъ,1
грѣетъ,1
грѣютъ,1
да,6
давали,2
давать,2
даетъ,1
даже,5
далекомъ,1
дальше,1
данъ,1
дарила,1
даромъ,1
дать,1
даю,1
двѣ,1
денегъ,1
день,2
деньги,3
деревнѣ,1
держала,2
держать,1
держу,1
длиннаго,1
длинный,2
для,14
до,4
добродѣтели,1
доброе,1
добръ,1
добрымъ,1
добрѣ,1
добывать,2
добываютъ,1
добыть,1
докажу,1
доказательство,1
долгъ,1
долженъ,3
должна,2
должно,1
должны,2
дома,1
допрашивалъ,1
дорогая,1
дорого,1
дорогъ,2
досады,1
досталъ,2
досуга,1
дочери,1
другимъ,1
другихъ,4
другое,1
другой,1
другу,1
другъ,1
другіе,1
думаете,1
думаешь,1
думаю,1
духовнаго,1
души,1
душою,1
дьяволомъ,1
дѣвушкамъ,1
дѣвушки,1
дѣвушку,1
дѣйствительно,3
дѣйствовать,1
дѣло,3
дѣлѣ,1
дѣтства,1
дѣтямъ,2
е,1
его,19
егорка,1
егоркѣ,1
ее,4
если,4
есть,13
еще,5
ея,3
ждутъ,1
же,8
желаешь,1
желала,1
желтые,1
жизни,4
жилета,1
жилеткѣ,1
жилетъ,6
жилетѣ,2
жилъ,1
жить,1
за,17
забылъ,1
зависитъ,1
завистливо,1
завтра,1
заглядѣнье,1
задавали,1
зажалъ,1
зажмурить,1
зайдемъ,1
заключается,1
замужъ,1
замяукала,1
замѣтилъ,1
замѣчательное,1
занялся,1
заплакали,1
заплакалъ,1
заплатите,1
заплатить,2
запонками,1
запонки,1
засвистали,1
заснуть,1
затаенный,1
затемняетъ,1
зато,2
захотѣлъ,1
захочешь,2
зашевелилось,1
звѣрька,1
здѣсь,2
знали,1
зналъ,2
знать,1
знаю,5
и,135
играть,1
идемъ,1
идетъ,1
идти,1
избѣ,1
изведешь,1
извести,1
извольте,2
издали,1
излишнее,1
излишняго,1
изображала,1
изъ,7
изюмъ,1
или,6
именно,1
имъ,2
имѣетъ,1
имѣла,1
имѣлъ,2
имѣть,2
иначе,1
инструментами,1
искусства,1
